symbol1,symbol2,company_name1,company_name2,sector1,sector2,subsector1,subsector2,segment1,segment2,correlation_group,same_subsector,correlation,n_obs,classification_version
CPFE3,SBSP3,CPFL ENERGIA,SABESP,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Distribution,Water and Sanitation,Within-sector,False,0.425594567443822,5264,initial macro-sector classification
CPFE3,ELET6,CPFL ENERGIA,ELETROBRAS,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Generation and Transmission,Within-sector,True,0.4230385859625341,5230,initial macro-sector classification
CPLE3,SBSP3,COPEL,SABESP,Utilities,Utilities,Electric Utility,Water and Sanitation,Generation and Distribution,Water and Sanitation,Within-sector,False,0.4165915649720461,6787,initial macro-sector classification
GOAU3,USIM3,METALURGICA GERDAU,USIMINAS,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,Holdings,Steel,Within-sector,True,0.4148155754503107,5520,initial macro-sector classification
BRAP4,USIM3,BRADESPAR,USIMINAS,Basic Materials,Basic Materials,Mining,Steel and Metallurgy,Holdings,Steel,Within-sector,False,0.4077213005241774,5850,initial macro-sector classification
BRKM5,GGBR4,BRASKEM,GERDAU,Basic Materials,Basic Materials,Chemicals,Steel and Metallurgy,Petrochemicals,Steel,Within-sector,False,0.4072566093919723,5783,initial macro-sector classification
CPLE6,TRPL4,COPEL,ISA CTEEP,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Transmission,Within-sector,True,0.404182827084331,6274,initial macro-sector classification
BBDC4,ITSA3,BRADESCO,ITAUSA,Financials,Financials,Banks,Financial Services,Banks,Holdings,Within-sector,False,0.4013660651245614,5710,initial macro-sector classification
CMIG4,TRPL4,CEMIG,ISA CTEEP,Utilities,Utilities,Electric Utility,Electric Utility,Generation and Distribution,Transmission,Within-sector,True,0.4002477251381623,6274,initial macro-sector classification
ITSA4,PSSA3,ITAUSA,PORTO SEGURO,Financials,Financials,Financial Services,Insurance,Holdings,Insurance,Within-sector,False,0.4001355547042921,5229,initial macro-sector classification
RAPT4,RENT3,RANDON,LOCALIZA,Industrials,Industrials,Transportation Equipment,Transportation,Auto Parts,Rent a Car,Within-sector,False,0.3981677608475361,5105,initial macro-sector classification
BBDC3,ITSA3,BRADESCO,ITAUSA,Financials,Financials,Banks,Financial Services,Banks,Holdings,Within-sector,False,0.3972746110169052,5710,initial macro-sector classification
GUAR3,LREN3,GUARARAPES,LOJAS RENNER,Consumer Cyclical,Consumer Cyclical,Retail,Retail,Apparel,Apparel,Within-sector,True,0.3955522086910382,5067,initial macro-sector classification
